POC,x,y,width,height,qtDepth,mtDepth,predMode
0,96,12,8,4,3,2,1
0,104,12,4,4,3,3,1
0,108,12,4,4,3,3,1
0,112,0,4,4,3,3,1
0,116,0,8,4,3,3,1
0,124,0,4,4,3,3,1
0,112,4,16,4,3,2,1
0,112,8,8,8,3,2,1
0,120,8,8,4,3,3,1
0,120,12,8,4,3,3,1
0,96,16,4,4,3,3,1
0,100,16,8,4,3,3,1
0,108,16,4,4,3,3,1
0,96,20,16,4,3,2,1
0,96,24,16,4,3,2,1
0,96,28,8,4,3,3,1
0,104,28,8,4,3,3,1
0,112,16,16,4,3,2,1
0,112,20,16,4,3,2,1
0,112,24,16,4,3,2,1
0,112,28,8,4,3,3,1
0,120,28,8,4,3,3,1
0,64,32,8,4,3,2,1
0,64,36,4,8,3,3,1
0,68,36,4,8,3,3,1
0,64,44,4,4,3,3,1
0,68,44,4,4,3,3,1
0,72,32,8,8,3,2,1
0,72,40,8,8,3,2,1
0,80,32,4,8,3,2,1
0,80,40,4,8,3,2,1
0,84,32,8,8,3,2,1
0,84,40,8,4,3,3,1
0,84,44,8,4,3,3,1
0,92,32,4,4,3,3,1
0,92,36,4,4,3,3,1
0,92,40,4,4,3,3,1
0,92,44,4,4,3,3,1
0,64,48,8,4,3,3,1
0,72,48,8,4,3,3,1
0,64,52,16,4,3,2,1
0,64,56,16,4,3,2,1
0,64,60,16,4,3,2,1
0,80,48,16,4,3,2,1
0,80,52,16,4,3,2,1
0,80,56,4,4,3,3,1
0,84,56,8,4,3,3,1
0,92,56,4,4,3,3,1
0,80,60,16,4,3,2,1
0,96,32,16,4,3,2,1
0,96,36,8,4,3,3,1
0,104,36,8,4,3,3,1
0,96,40,16,4,3,2,1
0,96,44,8,4,3,3,1
0,104,44,8,4,3,3,1
0,112,32,4,4,3,3,1
0,116,32,4,4,3,3,1
0,120,32,8,4,3,2,1
0,112,36,8,4,3,3,1
0,112,40,8,4,3,3,1
0,120,36,8,4,3,3,1
0,120,40,8,4,3,3,1
0,112,44,16,4,3,1,1
0,96,48,16,4,3,2,1
0,96,52,16,4,3,2,1
0,96,56,16,4,3,2,1
0,96,60,16,4,3,2,1
0,112,48,16,4,3,1,1
0,112,52,8,8,3,2,1
0,120,52,8,4,3,3,1
0,120,56,8,4,3,3,1
0,112,60,4,4,3,3,1
0,116,60,4,4,3,3,1
0,120,60,4,4,3,3,1
0,124,60,4,4,3,3,1
0,0,64,8,4,3,3,1
0,8,64,8,4,3,3,1
0,0,68,4,4,3,3,1
0,4,68,8,4,3,3,1
0,12,68,4,4,3,3,1
0,0,72,8,4,3,3,1
0,8,72,8,4,3,3,1
0,0,76,4,4,3,3,1
0,4,76,8,4,3,3,1
0,12,76,4,4,3,3,1
0,16,64,4,4,3,3,1
0,20,64,4,4,3,3,1
0,24,64,4,4,3,3,1
0,28,64,4,4,3,3,1
0,16,68,8,8,3,2,1
0,24,68,8,4,3,3,1
0,24,72,8,4,3,3,1
0,16,76,8,4,3,2,1
0,24,76,4,4,3,3,1
0,28,76,4,4,3,3,1
0,0,80,8,4,3,3,1
0,8,80,8,4,3,3,1
0,0,84,16,4,3,2,1
0,0,88,4,4,3,3,1
0,4,88,8,4,3,3,1
0,12,88,4,4,3,3,1
0,0,92,8,4,3,3,1
0,8,92,8,4,3,3,1
0,16,80,16,4,3,2,1
0,16,84,16,4,3,2,1
0,16,88,8,8,3,2,1
0,24,88,8,4,3,3,1
0,24,92,8,4,3,3,1
0,32,64,16,4,3,1,1
0,32,68,8,8,3,2,1
0,40,68,8,4,3,3,1
0,40,72,8,4,3,3,1
0,32,76,16,4,3,1,1
0,48,64,4,8,3,2,1
0,52,64,8,4,3,3,1
0,52,68,8,4,3,3,1
0,60,64,4,8,3,2,1
0,48,72,16,4,3,2,1
0,48,76,16,4,3,2,1
0,32,80,16,4,3,2,1
0,32,84,4,4,3,3,1
0,36,84,8,4,3,3,1
0,44,84,4,4,3,3,1
0,32,88,8,4,3,3,1
0,40,88,8,4,3,3,1
0,32,92,16,4,3,2,1
0,48,80,16,4,3,2,1
0,48,84,16,4,3,2,1
0,48,88,8,4,3,3,1
0,48,92,8,4,3,3,1
0,56,88,4,8,3,3,1
0,60,88,4,8,3,3,1
0,0,96,8,4,4,1,1
0,0,100,8,4,4,1,1
0,8,96,8,4,4,1,1
0,8,100,8,4,4,1,1
0,0,104,8,4,4,1,1
0,0,108,8,4,4,1,1
0,8,104,4,4,4,2,1
0,12,104,4,4,4,2,1
0,8,108,8,4,4,1,1
0,16,96,16,4,3,2,1
0,16,100,16,4,3,2,1
0,16,104,16,4,3,2,1
0,16,108,4,4,3,3,1
0,20,108,8,4,3,3,1
0,28,108,4,4,3,3,1
0,0,112,16,4,3,2,1
0,0,116,16,4,3,2,1
0,0,120,4,4,3,3,1
0,4,120,8,4,3,3,1
0,12,120,4,4,3,3,1
0,0,124,4,4,3,3,1
0,4,124,8,4,3,3,1
0,12,124,4,4,3,3,1
0,16,112,8,4,3,3,1
0,24,112,8,4,3,3,1
0,16,116,4,4,3,3,1
0,20,116,8,4,3,3,1
0,28,116,4,4,3,3,1
0,16,120,16,4,3,2,1
0,16,124,8,4,3,3,1
0,24,124,8,4,3,3,1
0,32,96,16,4,3,2,1
0,32,100,16,4,3,2,1
0,32,104,16,4,3,2,1
0,32,108,8,4,3,3,1
0,40,108,8,4,3,3,1
0,48,96,4,4,3,3,1
0,52,96,8,4,3,3,1
0,60,96,4,4,3,3,1
0,48,100,16,4,3,2,1
0,48,104,16,4,3,2,1
0,48,108,16,4,3,2,1
0,32,112,8,4,3,3,1
0,40,112,8,4,3,3,1
0,32,116,16,4,3,2,1
0,32,120,16,4,3,2,1
0,32,124,16,4,3,2,1
0,48,112,8,4,3,3,1
0,56,112,8,4,3,3,1
0,48,116,16,4,3,2,1
0,48,120,16,4,3,2,1
0,48,124,16,4,3,2,1
0,64,64,8,8,4,0,1
0,72,64,8,8,4,0,1
0,64,72,8,8,4,0,1
0,72,72,4,4,4,2,1
0,76,72,4,4,4,2,1
0,72,76,8,4,4,1,1
0,80,64,16,4,3,1,1
0,80,68,8,8,3,2,1
0,88,68,8,4,3,3,1
0,88,72,8,4,3,3,1
0,80,76,16,4,3,1,1
0,64,80,16,4,3,2,1
0,64,84,16,4,3,2,1
0,64,88,16,4,3,2,1
0,64,92,16,4,3,2,1
0,80,80,16,4,3,2,1
0,80,84,16,4,3,2,1
0,80,88,8,4,3,3,1
0,88,88,8,4,3,3,1
0,80,92,16,4,3,2,1
0,96,64,4,4,3,3,1
0,100,64,8,4,3,3,1
0,108,64,4,4,3,3,1
0,96,68,16,4,3,2,1
0,96,72,16,4,3,2,1
0,96,76,16,4,3,2,1
0,112,64,16,4,3,2,1
0,112,68,16,4,3,2,1
0,112,72,16,4,3,2,1
0,112,76,8,4,3,3,1
0,120,76,8,4,3,3,1
0,96,80,8,4,3,3,1
0,104,80,8,4,3,3,1
0,96,84,16,4,3,2,1
0,96,88,16,4,3,2,1
0,96,92,16,4,3,2,1
0,112,80,16,4,3,2,1
0,112,84,16,4,3,2,1
0,112,88,8,8,3,2,1
0,120,88,8,4,3,3,1
0,120,92,8,4,3,3,1
0,64,96,8,8,3,2,1
0,72,96,8,4,3,3,1
0,72,100,8,4,3,3,1
0,64,104,16,4,3,2,1
0,64,108,8,4,3,3,1
0,72,108,8,4,3,3,1
0,80,96,16,8,3,1,1
0,80,104,16,4,3,2,1
0,80,108,16,4,3,2,1
0,64,112,16,4,3,2,1
0,64,116,16,4,3,2,1
0,64,120,8,4,3,3,1
0,72,120,8,4,3,3,1
0,64,124,16,4,3,2,1
0,80,112,4,8,3,2,1
0,84,112,8,8,3,2,1
0,92,112,4,4,3,3,1
0,92,116,4,4,3,3,1
0,80,120,16,4,3,2,1
0,80,124,16,4,3,2,1
0,96,96,16,4,3,1,1
0,96,100,8,4,3,3,1
0,96,104,8,4,3,3,1
0,104,100,8,4,3,3,1
0,104,104,8,4,3,3,1
0,96,108,16,4,3,1,1
0,112,96,16,8,3,1,1
0,112,104,8,4,3,3,1
0,120,104,8,4,3,3,1
0,112,108,16,4,3,2,1
0,96,112,16,4,3,2,1
0,96,116,8,4,3,3,1
0,104,116,8,4,3,3,1
0,96,120,4,4,3,3,1
0,96,124,4,4,3,3,1
0,100,120,8,8,3,2,1
0,108,120,4,8,3,2,1
0,112,112,4,8,3,2,1
0,116,112,8,4,3,3,1
0,116,116,8,4,3,3,1
0,124,112,4,4,3,3,1
0,124,116,4,4,3,3,1
0,112,120,16,4,3,2,1
0,112,124,16,4,3,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,1,0,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,8,8,4,0,1
0,8,0,4,8,4,1,1
0,12,0,4,8,4,1,1
0,0,8,8,8,4,0,1
0,8,8,8,4,4,1,1
0,8,12,4,4,4,2,1
0,12,12,4,4,4,2,1
0,16,0,8,4,3,3,1
0,24,0,8,4,3,3,1
0,16,4,16,4,3,2,1
0,16,8,16,4,3,2,1
0,16,12,16,4,3,2,1
0,0,16,4,8,3,3,1
0,0,24,4,8,3,3,1
0,4,16,4,16,3,2,1
0,8,16,8,4,3,3,1
0,8,20,8,4,3,3,1
0,8,24,8,8,3,2,1
0,16,16,16,4,3,2,1
0,16,20,16,4,3,2,1
0,16,24,16,4,3,2,1
0,16,28,16,4,3,2,1
0,32,0,8,4,3,3,1
0,40,0,8,4,3,3,1
0,32,4,16,4,3,2,1
0,32,8,16,4,3,2,1
0,32,12,16,4,3,2,1
0,48,0,4,4,3,3,1
0,48,4,4,4,3,3,1
0,52,0,8,4,3,3,1
0,52,4,8,4,3,3,1
0,60,0,4,8,3,2,1
0,48,8,16,4,3,2,1
0,48,12,16,4,3,2,1
0,32,16,8,4,3,3,1
0,40,16,8,4,3,3,1
0,32,20,16,4,3,2,1
0,32,24,16,4,3,2,1
0,32,28,16,4,3,2,1
0,48,16,16,8,3,1,1
0,48,24,16,4,3,2,1
0,48,28,4,4,3,3,1
0,52,28,8,4,3,3,1
0,60,28,4,4,3,3,1
0,0,32,8,8,3,2,1
0,8,32,8,4,3,3,1
0,8,36,8,4,3,3,1
0,0,40,8,4,3,3,1
0,0,44,8,4,3,3,1
0,8,40,8,8,3,2,1
0,16,32,8,4,3,3,1
0,16,36,8,4,3,3,1
0,16,40,8,8,3,2,1
0,24,32,4,16,3,2,1
0,28,32,4,16,3,2,1
0,0,48,4,4,3,3,1
0,4,48,8,4,3,3,1
0,12,48,4,4,3,3,1
0,0,52,4,4,3,3,1
0,4,52,8,4,3,3,1
0,12,52,4,4,3,3,1
0,0,56,8,4,3,3,1
0,8,56,8,4,3,3,1
0,0,60,4,4,3,3,1
0,4,60,8,4,3,3,1
0,12,60,4,4,3,3,1
0,16,48,16,4,3,2,1
0,16,52,16,4,3,2,1
0,16,56,16,4,3,2,1
0,16,60,4,4,3,3,1
0,20,60,8,4,3,3,1
0,28,60,4,4,3,3,1
0,32,32,16,4,3,2,1
0,32,36,8,4,3,3,1
0,40,36,8,4,3,3,1
0,32,40,16,4,3,2,1
0,32,44,16,4,3,2,1
0,48,32,8,4,3,3,1
0,56,32,8,4,3,3,1
0,48,36,8,4,3,3,1
0,56,36,8,4,3,3,1
0,48,40,4,8,3,3,1
0,52,40,4,8,3,3,1
0,56,40,8,8,3,2,1
0,32,48,16,4,3,1,1
0,32,52,4,8,3,2,1
0,36,52,8,4,3,3,1
0,36,56,8,4,3,3,1
0,44,52,4,4,3,3,1
0,44,56,4,4,3,3,1
0,32,60,16,4,3,1,1
0,48,48,16,4,3,2,1
0,48,52,16,4,3,2,1
0,48,56,16,4,3,2,1
0,48,60,16,4,3,2,1
0,64,0,8,4,3,3,1
0,72,0,8,4,3,3,1
0,64,4,4,4,3,3,1
0,68,4,8,4,3,3,1
0,76,4,4,4,3,3,1
0,64,8,16,4,3,2,1
0,64,12,8,4,3,3,1
0,72,12,8,4,3,3,1
0,80,0,16,4,3,1,1
0,80,4,8,4,3,3,1
0,80,8,8,4,3,3,1
0,88,4,8,4,3,3,1
0,88,8,8,4,3,3,1
0,80,12,8,4,3,2,1
0,88,12,4,4,3,3,1
0,92,12,4,4,3,3,1
0,64,16,4,4,3,3,1
0,64,20,4,4,3,3,1
0,68,16,8,8,3,2,1
0,76,16,4,8,3,2,1
0,64,24,4,4,3,3,1
0,68,24,8,4,3,3,1
0,76,24,4,4,3,3,1
0,64,28,8,4,3,3,1
0,72,28,8,4,3,3,1
0,80,16,16,4,3,1,1
0,80,20,4,8,3,3,1
0,84,20,4,8,3,3,1
0,88,20,8,4,3,3,1
0,88,24,8,4,3,3,1
0,80,28,16,4,3,1,1
0,96,0,4,4,3,3,1
0,100,0,4,4,3,3,1
0,104,0,8,4,3,2,1
0,96,4,16,8,3,1,1
0,96,12,8,4,3,2,1
0,104,12,4,4,3,3,1
0,108,12,4,4,3,3,1
0,112,0,4,4,3,3,1
0,116,0,8,4,3,3,1
0,124,0,4,4,3,3,1
0,112,4,16,4,3,2,1
0,112,8,8,8,3,2,1
0,120,8,8,4,3,3,1
0,120,12,8,4,3,3,1
0,96,16,4,4,3,3,1
0,100,16,8,4,3,3,1
0,108,16,4,4,3,3,1
0,96,20,16,4,3,2,1
0,96,24,16,4,3,2,1
0,96,28,8,4,3,3,1
0,104,28,8,4,3,3,1
0,112,16,16,4,3,2,1
0,112,20,16,4,3,2,1
0,112,24,16,4,3,2,1
0,112,28,8,4,3,3,1
0,120,28,8,4,3,3,1
0,64,32,8,4,3,2,1
0,64,36,4,8,3,3,1
0,68,36,4,8,3,3,1
0,64,44,4,4,3,3,1
0,68,44,4,4,3,3,1
0,72,32,8,8,3,2,1
0,72,40,8,8,3,2,1
0,80,32,4,8,3,2,1
0,80,40,4,8,3,2,1
0,84,32,8,8,3,2,1
0,84,40,8,4,3,3,1
0,84,44,8,4,3,3,1
0,92,32,4,4,3,3,1
0,92,36,4,4,3,3,1
0,92,40,4,4,3,3,1
0,92,44,4,4,3,3,1
0,64,48,8,4,3,3,1
0,72,48,8,4,3,3,1
0,64,52,16,4,3,2,1
0,64,56,16,4,3,2,1
0,64,60,16,4,3,2,1
0,80,48,16,4,3,2,1
0,80,52,16,4,3,2,1
0,80,56,4,4,3,3,1
0,84,56,8,4,3,3,1
0,92,56,4,4,3,3,1
0,80,60,16,4,3,2,1
0,96,32,16,4,3,2,1
0,96,36,8,4,3,3,1
0,104,36,8,4,3,3,1
0,96,40,16,4,3,2,1
0,96,44,8,4,3,3,1
0,104,44,8,4,3,3,1
0,112,32,4,4,3,3,1
0,116,32,4,4,3,3,1
0,120,32,8,4,3,2,1
0,112,36,8,4,3,3,1
0,112,40,8,4,3,3,1
0,120,36,8,4,3,3,1
0,120,40,8,4,3,3,1
0,112,44,16,4,3,1,1
0,96,48,16,4,3,2,1
0,96,52,16,4,3,2,1
0,96,56,16,4,3,2,1
0,96,60,16,4,3,2,1
0,112,48,16,4,3,1,1
0,112,52,8,8,3,2,1
0,120,52,8,4,3,3,1
0,120,56,8,4,3,3,1
0,112,60,4,4,3,3,1
0,116,60,4,4,3,3,1
0,120,60,4,4,3,3,1
0,124,60,4,4,3,3,1
0,0,64,8,4,3,3,1
0,8,64,8,4,3,3,1
0,0,68,4,4,3,3,1
0,4,68,8,4,3,3,1
0,12,68,4,4,3,3,1
0,0,72,8,4,3,3,1
0,8,72,8,4,3,3,1
0,0,76,4,4,3,3,1
0,4,76,8,4,3,3,1
0,12,76,4,4,3,3,1
0,16,64,4,4,3,3,1
0,20,64,4,4,3,3,1
0,24,64,4,4,3,3,1
0,28,64,4,4,3,3,1
0,16,68,8,8,3,2,1
0,24,68,8,4,3,3,1
0,24,72,8,4,3,3,1
0,16,76,8,4,3,2,1
0,24,76,4,4,3,3,1
0,28,76,4,4,3,3,1
0,0,80,8,4,3,3,1
0,8,80,8,4,3,3,1
0,0,84,16,4,3,2,1
0,0,88,4,4,3,3,1
0,4,88,8,4,3,3,1
0,12,88,4,4,3,3,1
0,0,92,8,4,3,3,1
0,8,92,8,4,3,3,1
0,16,80,16,4,3,2,1
0,16,84,16,4,3,2,1
0,16,88,8,8,3,2,1
0,24,88,8,4,3,3,1
0,24,92,8,4,3,3,1
0,32,64,16,4,3,1,1
0,32,68,8,8,3,2,1
0,40,68,8,4,3,3,1
0,40,72,8,4,3,3,1
0,32,76,16,4,3,1,1
0,48,64,4,8,3,2,1
0,52,64,8,4,3,3,1
0,52,68,8,4,3,3,1
0,60,64,4,8,3,2,1
0,48,72,16,4,3,2,1
0,48,76,16,4,3,2,1
0,32,80,16,4,3,2,1
0,32,84,4,4,3,3,1
0,36,84,8,4,3,3,1
0,44,84,4,4,3,3,1
0,32,88,8,4,3,3,1
0,40,88,8,4,3,3,1
0,32,92,16,4,3,2,1
0,48,80,16,4,3,2,1
0,48,84,16,4,3,2,1
0,48,88,8,4,3,3,1
0,48,92,8,4,3,3,1
0,56,88,4,8,3,3,1
0,60,88,4,8,3,3,1
0,0,96,8,4,4,1,1
0,0,100,8,4,4,1,1
0,8,96,8,4,4,1,1
0,8,100,8,4,4,1,1
0,0,104,8,4,4,1,1
0,0,108,8,4,4,1,1
0,8,104,4,4,4,2,1
0,12,104,4,4,4,2,1
0,8,108,8,4,4,1,1
0,16,96,16,4,3,2,1
0,16,100,16,4,3,2,1
0,16,104,16,4,3,2,1
0,16,108,4,4,3,3,1
0,20,108,8,4,3,3,1
0,28,108,4,4,3,3,1
0,0,112,16,4,3,2,1
0,0,116,16,4,3,2,1
0,0,120,4,4,3,3,1
0,4,120,8,4,3,3,1
0,12,120,4,4,3,3,1
0,0,124,4,4,3,3,1
0,4,124,8,4,3,3,1
0,12,124,4,4,3,3,1
0,16,112,8,4,3,3,1
0,24,112,8,4,3,3,1
0,16,116,4,4,3,3,1
0,20,116,8,4,3,3,1
0,28,116,4,4,3,3,1
0,16,120,16,4,3,2,1
0,16,124,8,4,3,3,1
0,24,124,8,4,3,3,1
0,32,96,16,4,3,2,1
0,32,100,16,4,3,2,1
0,32,104,16,4,3,2,1
0,32,108,8,4,3,3,1
0,40,108,8,4,3,3,1
0,48,96,4,4,3,3,1
0,52,96,8,4,3,3,1
0,60,96,4,4,3,3,1
0,48,100,16,4,3,2,1
0,48,104,16,4,3,2,1
0,48,108,16,4,3,2,1
0,32,112,8,4,3,3,1
0,40,112,8,4,3,3,1
0,32,116,16,4,3,2,1
0,32,120,16,4,3,2,1
0,32,124,16,4,3,2,1
0,48,112,8,4,3,3,1
0,56,112,8,4,3,3,1
0,48,116,16,4,3,2,1
0,48,120,16,4,3,2,1
0,48,124,16,4,3,2,1
0,64,64,8,8,4,0,1
0,72,64,8,8,4,0,1
0,64,72,8,8,4,0,1
0,72,72,4,4,4,2,1
0,76,72,4,4,4,2,1
0,72,76,8,4,4,1,1
0,80,64,16,4,3,1,1
0,80,68,8,8,3,2,1
0,88,68,8,4,3,3,1
0,88,72,8,4,3,3,1
0,80,76,16,4,3,1,1
0,64,80,16,4,3,2,1
0,64,84,16,4,3,2,1
0,64,88,16,4,3,2,1
0,64,92,16,4,3,2,1
0,80,80,16,4,3,2,1
0,80,84,16,4,3,2,1
0,80,88,8,4,3,3,1
0,88,88,8,4,3,3,1
0,80,92,16,4,3,2,1
0,96,64,4,4,3,3,1
0,100,64,8,4,3,3,1
0,108,64,4,4,3,3,1
0,96,68,16,4,3,2,1
0,96,72,16,4,3,2,1
0,96,76,16,4,3,2,1
0,112,64,16,4,3,2,1
0,112,68,16,4,3,2,1
0,112,72,16,4,3,2,1
0,112,76,8,4,3,3,1
0,120,76,8,4,3,3,1
0,96,80,8,4,3,3,1
0,104,80,8,4,3,3,1
0,96,84,16,4,3,2,1
0,96,88,16,4,3,2,1
0,96,92,16,4,3,2,1
0,112,80,16,4,3,2,1
0,112,84,16,4,3,2,1
0,112,88,8,8,3,2,1
0,120,88,8,4,3,3,1
0,120,92,8,4,3,3,1
0,64,96,8,8,3,2,1
0,72,96,8,4,3,3,1
0,72,100,8,4,3,3,1
0,64,104,16,4,3,2,1
0,64,108,8,4,3,3,1
0,72,108,8,4,3,3,1
0,80,96,16,8,3,1,1
0,80,104,16,4,3,2,1
0,80,108,16,4,3,2,1
0,64,112,16,4,3,2,1
0,64,116,16,4,3,2,1
0,64,120,8,4,3,3,1
0,72,120,8,4,3,3,1
0,64,124,16,4,3,2,1
0,80,112,4,8,3,2,1
0,84,112,8,8,3,2,1
0,92,112,4,4,3,3,1
0,92,116,4,4,3,3,1
0,80,120,16,4,3,2,1
0,80,124,16,4,3,2,1
0,96,96,16,4,3,1,1
0,96,100,8,4,3,3,1
0,96,104,8,4,3,3,1
0,104,100,8,4,3,3,1
0,104,104,8,4,3,3,1
0,96,108,16,4,3,1,1
0,112,96,16,8,3,1,1
0,112,104,8,4,3,3,1
0,120,104,8,4,3,3,1
0,112,108,16,4,3,2,1
0,96,112,16,4,3,2,1
0,96,116,8,4,3,3,1
0,104,116,8,4,3,3,1
0,96,120,4,4,3,3,1
0,96,124,4,4,3,3,1
0,100,120,8,8,3,2,1
0,108,120,4,8,3,2,1
0,112,112,4,8,3,2,1
0,116,112,8,4,3,3,1
0,116,116,8,4,3,3,1
0,124,112,4,4,3,3,1
0,124,116,4,4,3,3,1
0,112,120,16,4,3,2,1
0,112,124,16,4,3,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
